epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12450,0.91101,0.68836,1.34834,0.59948,0.93828,0.73155,0.46911,1.27095,1.01521,2.06609,0.000990365,0.000990365,0.000990365
43,13378,0.89862,0.68126,1.33801,0.74696,0.77464,0.78795,0.49768,1.23454,0.82265,2.02004,0.000973861,0.000973861,0.000973861
44,14279.2,0.8758,0.69286,1.33468,0.70157,0.81797,0.78526,0.48093,1.27825,1.09004,2.06196,0.000957358,0.000957358,0.000957358
45,15296.1,0.86498,0.65689,1.31047,0.70547,0.86053,0.79998,0.4916,1.26892,0.81917,2.07669,0.000940855,0.000940855,0.000940855
46,16296.5,0.86753,0.66959,1.32045,0.7092,0.76491,0.76206,0.48924,1.26288,0.87279,2.09106,0.000924352,0.000924352,0.000924352
47,17091.2,0.8598,0.66679,1.30962,0.66692,0.81539,0.77493,0.49605,1.2712,0.8623,2.09194,0.000907848,0.000907848,0.000907848
48,18120.9,0.85573,0.64477,1.30698,0.66696,0.84785,0.74463,0.47831,1.23128,0.97944,2.02192,0.000891345,0.000891345,0.000891345
49,19085.3,0.85519,0.64833,1.31348,0.6499,0.84378,0.7461,0.47643,1.27358,0.91834,2.10213,0.000874842,0.000874842,0.000874842
50,20182.6,0.83643,0.63035,1.29399,0.73556,0.82384,0.78555,0.48332,1.26682,0.82528,2.12292,0.000858338,0.000858338,0.000858338
51,21287.6,0.83834,0.64031,1.29146,0.71094,0.76276,0.76442,0.47598,1.29167,0.88791,2.19457,0.000841835,0.000841835,0.000841835
52,22310.2,0.82807,0.6224,1.28532,0.75884,0.72982,0.74943,0.47363,1.23244,0.87612,2.02866,0.000825332,0.000825332,0.000825332
53,23337.1,0.83354,0.61967,1.29629,0.75001,0.79057,0.76899,0.47944,1.27536,0.88171,2.09304,0.000808828,0.000808828,0.000808828
54,24457,0.80863,0.60341,1.27712,0.69889,0.79164,0.76224,0.47001,1.27476,0.88356,2.17832,0.000792325,0.000792325,0.000792325
55,25428.2,0.80823,0.61668,1.28316,0.76443,0.80871,0.79748,0.50083,1.26069,0.84181,2.16163,0.000775822,0.000775822,0.000775822
56,26588.7,0.80558,0.5986,1.27237,0.7376,0.75287,0.76848,0.4846,1.26068,0.86021,2.13209,0.000759318,0.000759318,0.000759318
57,27625.3,0.78103,0.58436,1.2513,0.67651,0.84705,0.75843,0.49117,1.25047,0.88802,2.20781,0.000742815,0.000742815,0.000742815
58,28383,0.79247,0.5995,1.26743,0.71498,0.82073,0.77645,0.5015,1.28038,0.91796,2.15082,0.000726312,0.000726312,0.000726312
59,29794.7,0.77791,0.59151,1.25501,0.68184,0.81684,0.78004,0.49098,1.27411,0.90924,2.18547,0.000709809,0.000709809,0.000709809
60,38509.3,0.78136,0.57897,1.25221,0.60603,0.88812,0.70705,0.44795,1.25185,1.05458,2.17039,0.000693305,0.000693305,0.000693305
61,39591.7,0.76634,0.57332,1.24366,0.70084,0.77749,0.74969,0.47038,1.25722,0.988,2.1943,0.000676802,0.000676802,0.000676802
62,40645.2,0.74006,0.56457,1.22574,0.70373,0.78354,0.76528,0.48766,1.24529,0.91538,2.17499,0.000660299,0.000660299,0.000660299
63,41804.1,0.74298,0.55888,1.23828,0.68059,0.77967,0.73653,0.47497,1.24163,0.95348,2.16563,0.000643795,0.000643795,0.000643795
64,42785.6,0.74627,0.55146,1.2273,0.62548,0.90662,0.747,0.46658,1.32704,1.07595,2.27204,0.000627292,0.000627292,0.000627292
65,43829.3,0.73437,0.5493,1.22364,0.76622,0.80034,0.77782,0.48368,1.29939,0.88294,2.25472,0.000610789,0.000610789,0.000610789
66,44904.2,0.72491,0.53776,1.21568,0.70455,0.73603,0.73003,0.46039,1.30424,0.99948,2.2735,0.000594286,0.000594286,0.000594286
67,46051.3,0.71221,0.5321,1.21339,0.66868,0.83298,0.74565,0.47458,1.29012,0.97457,2.30061,0.000577782,0.000577782,0.000577782
68,47321.7,0.7014,0.53686,1.20636,0.66774,0.81032,0.74098,0.47325,1.28826,0.97517,2.28246,0.000561279,0.000561279,0.000561279
69,48932,0.71659,0.53204,1.21154,0.65892,0.81776,0.73072,0.45688,1.27948,0.99833,2.24348,0.000544776,0.000544776,0.000544776
70,50123.1,0.70139,0.52967,1.20776,0.73049,0.75785,0.75674,0.47046,1.30194,0.96178,2.20394,0.000528272,0.000528272,0.000528272
71,52490.7,0.70752,0.52755,1.20558,0.71796,0.78173,0.73802,0.4702,1.26491,0.96388,2.29355,0.000511769,0.000511769,0.000511769
72,55246.8,0.69423,0.50764,1.19156,0.70508,0.80615,0.76322,0.47275,1.29139,0.93725,2.25875,0.000495266,0.000495266,0.000495266
73,57812,0.68316,0.50452,1.18752,0.68791,0.84673,0.78609,0.50605,1.28533,0.95576,2.2774,0.000478762,0.000478762,0.000478762
74,64331.9,0.67414,0.49894,1.18269,0.68456,0.78157,0.75982,0.48384,1.29256,1.00169,2.29693,0.000462259,0.000462259,0.000462259
